,angleSeq,fstFrameN,percentS,Observer,approxMs,totalNo
0,0,43,0.1,LJ2805.xlsx,716.6666667,60
1,0,51,0.066666667,LJ2805.xlsx,850,60
2,0,59,0.15,LJ2805.xlsx,983.3333333,60
3,0,67,0.433333333,LJ2805.xlsx,1116.666667,60
4,0,75,0.583333333,LJ2805.xlsx,1250,60
5,10,43,0.083333333,LJ2805.xlsx,716.6666667,36
6,10,51,0.138888889,LJ2805.xlsx,850,36
7,10,59,0.055555556,LJ2805.xlsx,983.3333333,36
8,10,67,0.333333333,LJ2805.xlsx,1116.666667,36
9,10,75,0.694444444,LJ2805.xlsx,1250,36
10,20,43,0.055555556,LJ2805.xlsx,716.6666667,36
11,20,51,0.111111111,LJ2805.xlsx,850,36
12,20,59,0.25,LJ2805.xlsx,983.3333333,36
13,20,67,0.388888889,LJ2805.xlsx,1116.666667,36
14,20,75,0.666666667,LJ2805.xlsx,1250,36
15,30,43,0,LJ2805.xlsx,716.6666667,60
16,30,51,0.033333333,LJ2805.xlsx,850,60
17,30,59,0.166666667,LJ2805.xlsx,983.3333333,60
18,30,67,0.5,LJ2805.xlsx,1116.666667,60
19,30,75,0.733333333,LJ2805.xlsx,1250,60
20,40,43,0.083333333,LJ2805.xlsx,716.6666667,36
21,40,51,0.277777778,LJ2805.xlsx,850,36
22,40,59,0.333333333,LJ2805.xlsx,983.3333333,36
23,40,67,0.5,LJ2805.xlsx,1116.666667,36
24,40,75,0.861111111,LJ2805.xlsx,1250,36
25,50,43,0.033333333,LJ2805.xlsx,716.6666667,60
26,50,51,0.066666667,LJ2805.xlsx,850,60
27,50,59,0.266666667,LJ2805.xlsx,983.3333333,60
28,50,67,0.65,LJ2805.xlsx,1116.666667,60
29,50,75,0.833333333,LJ2805.xlsx,1250,60
30,60,43,0.116666667,LJ2805.xlsx,716.6666667,60
31,60,51,0.35,LJ2805.xlsx,850,60
32,60,59,0.283333333,LJ2805.xlsx,983.3333333,60
33,60,67,0.616666667,LJ2805.xlsx,1116.666667,60
34,60,75,0.866666667,LJ2805.xlsx,1250,60
35,80,43,0.111111111,LJ2805.xlsx,716.6666667,36
36,80,51,0.083333333,LJ2805.xlsx,850,36
37,80,59,0.222222222,LJ2805.xlsx,983.3333333,36
38,80,67,0.472222222,LJ2805.xlsx,1116.666667,36
39,80,75,0.75,LJ2805.xlsx,1250,36
0,0,43,0.066666667,lj090721.xlsx,716.6666667,30
1,0,51,0.133333333,lj090721.xlsx,850,30
2,0,59,0.366666667,lj090721.xlsx,983.3333333,30
3,0,67,0.666666667,lj090721.xlsx,1116.666667,30
4,0,75,0.666666667,lj090721.xlsx,1250,30
5,10,43,0.066666667,lj090721.xlsx,716.6666667,30
6,10,51,0.166666667,lj090721.xlsx,850,30
7,10,59,0.233333333,lj090721.xlsx,983.3333333,30
8,10,67,0.366666667,lj090721.xlsx,1116.666667,30
9,10,75,0.533333333,lj090721.xlsx,1250,30
10,20,43,0.2,lj090721.xlsx,716.6666667,30
11,20,51,0.1,lj090721.xlsx,850,30
12,20,59,0.466666667,lj090721.xlsx,983.3333333,30
13,20,67,0.433333333,lj090721.xlsx,1116.666667,30
14,20,75,0.733333333,lj090721.xlsx,1250,30
15,30,43,0.1,lj090721.xlsx,716.6666667,30
16,30,51,0.2,lj090721.xlsx,850,30
17,30,59,0.2,lj090721.xlsx,983.3333333,30
18,30,67,0.666666667,lj090721.xlsx,1116.666667,30
19,30,75,0.6,lj090721.xlsx,1250,30
20,40,43,0.133333333,lj090721.xlsx,716.6666667,30
21,40,51,0.2,lj090721.xlsx,850,30
22,40,59,0.533333333,lj090721.xlsx,983.3333333,30
23,40,67,0.566666667,lj090721.xlsx,1116.666667,30
24,40,75,0.866666667,lj090721.xlsx,1250,30
25,50,43,0.066666667,lj090721.xlsx,716.6666667,30
26,50,51,0.3,lj090721.xlsx,850,30
27,50,59,0.266666667,lj090721.xlsx,983.3333333,30
28,50,67,0.833333333,lj090721.xlsx,1116.666667,30
29,50,75,0.833333333,lj090721.xlsx,1250,30
30,60,43,0.1,lj090721.xlsx,716.6666667,30
31,60,51,0.5,lj090721.xlsx,850,30
32,60,59,0.366666667,lj090721.xlsx,983.3333333,30
33,60,67,0.766666667,lj090721.xlsx,1116.666667,30
34,60,75,0.866666667,lj090721.xlsx,1250,30
35,80,43,0.3,lj090721.xlsx,716.6666667,30
36,80,51,0.4,lj090721.xlsx,850,30
37,80,59,0.666666667,lj090721.xlsx,983.3333333,30
38,80,67,0.666666667,lj090721.xlsx,1116.666667,30
39,80,75,0.9,lj090721.xlsx,1250,30
