,angleSeq,fstFrameN,percentS,Observer,approxMs,totalNo
0,10,43,0.0,PVMCol30Pruned.xlsx,716.6666666666667,30
1,10,51,0.26666666666666666,PVMCol30Pruned.xlsx,850.0000000000001,30
2,10,59,0.4666666666666667,PVMCol30Pruned.xlsx,983.3333333333334,30
3,10,67,0.7666666666666667,PVMCol30Pruned.xlsx,1116.6666666666667,30
4,10,75,0.8333333333333334,PVMCol30Pruned.xlsx,1250.0,30
5,20,43,0.16666666666666666,PVMCol30Pruned.xlsx,716.6666666666667,30
6,20,51,0.23333333333333334,PVMCol30Pruned.xlsx,850.0000000000001,30
7,20,59,0.4666666666666667,PVMCol30Pruned.xlsx,983.3333333333334,30
8,20,67,0.7,PVMCol30Pruned.xlsx,1116.6666666666667,30
9,20,75,0.8,PVMCol30Pruned.xlsx,1250.0,30
10,40,43,0.2,PVMCol30Pruned.xlsx,716.6666666666667,30
11,40,51,0.4,PVMCol30Pruned.xlsx,850.0000000000001,30
12,40,59,0.6666666666666666,PVMCol30Pruned.xlsx,983.3333333333334,30
13,40,67,0.8,PVMCol30Pruned.xlsx,1116.6666666666667,30
14,40,75,0.9666666666666667,PVMCol30Pruned.xlsx,1250.0,30
15,80,43,0.06666666666666667,PVMCol30Pruned.xlsx,716.6666666666667,30
16,80,51,0.16666666666666666,PVMCol30Pruned.xlsx,850.0000000000001,30
17,80,59,0.4666666666666667,PVMCol30Pruned.xlsx,983.3333333333334,30
18,80,67,0.8666666666666667,PVMCol30Pruned.xlsx,1116.6666666666667,30
19,80,75,0.8666666666666667,PVMCol30Pruned.xlsx,1250.0,30
