,angleSeq,fstFrameN,percentS,Observer,approxMs,totalNo
0,10,43,0.0,PVMCol30.xlsx,716.6666666666667,32
1,10,51,0.28125,PVMCol30.xlsx,850.0000000000001,32
2,10,59,0.46875,PVMCol30.xlsx,983.3333333333334,32
3,10,67,0.78125,PVMCol30.xlsx,1116.6666666666667,32
4,10,75,0.8125,PVMCol30.xlsx,1250.0,32
5,20,43,0.15625,PVMCol30.xlsx,716.6666666666667,32
6,20,51,0.21875,PVMCol30.xlsx,850.0000000000001,32
7,20,59,0.46875,PVMCol30.xlsx,983.3333333333334,32
8,20,67,0.6875,PVMCol30.xlsx,1116.6666666666667,32
9,20,75,0.8125,PVMCol30.xlsx,1250.0,32
10,40,43,0.1875,PVMCol30.xlsx,716.6666666666667,32
11,40,51,0.40625,PVMCol30.xlsx,850.0000000000001,32
12,40,59,0.65625,PVMCol30.xlsx,983.3333333333334,32
13,40,67,0.8125,PVMCol30.xlsx,1116.6666666666667,32
14,40,75,0.96875,PVMCol30.xlsx,1250.0,32
15,80,43,0.0625,PVMCol30.xlsx,716.6666666666667,32
16,80,51,0.1875,PVMCol30.xlsx,850.0000000000001,32
17,80,59,0.46875,PVMCol30.xlsx,983.3333333333334,32
18,80,67,0.84375,PVMCol30.xlsx,1116.6666666666667,32
19,80,75,0.84375,PVMCol30.xlsx,1250.0,32
