trialID,repNo,mod,angleSeq,sizeSeq1,FrameStim,stimLength
1,3,-1,80,1,75,2
2,1,-1,10,1,43,2
3,4,-1,80,1,59,2
4,2,-1,80,1,51,2
5,1,1,10,1,51,2
6,4,1,10,1,43,2
7,4,-1,10,1,51,2
8,3,1,80,1,51,2
9,2,-1,80,1,67,2
10,5,1,80,1,67,2
11,5,-1,40,1,43,2
12,4,-1,40,1,67,2
13,3,1,80,1,43,2
14,1,-1,20,1,75,2
15,4,1,40,1,43,2
16,5,1,20,1,59,2
17,5,-1,20,1,51,2
18,1,-1,20,1,43,2
19,4,1,10,1,75,2
20,2,-1,20,1,75,2
21,3,-1,80,1,43,2
22,4,1,20,1,43,2
23,1,-1,80,1,75,2
24,1,-1,20,1,67,2
25,5,-1,40,1,75,2
26,4,-1,20,1,59,2
27,2,1,80,1,59,2
28,5,-1,10,1,43,2
29,5,1,80,1,59,2
30,5,1,80,1,51,2
31,4,1,80,1,51,2
32,4,-1,20,1,75,2
33,2,-1,20,1,43,2
34,5,-1,80,1,67,2
35,3,1,20,1,51,2
36,4,1,10,1,59,2
37,5,1,20,1,51,2
38,4,1,10,1,51,2
39,3,1,80,1,59,2
40,5,-1,10,1,67,2
41,4,-1,10,1,67,2
42,3,1,20,1,67,2
43,5,1,40,1,51,2
44,4,1,20,1,51,2
45,2,1,10,1,67,2
46,2,1,80,1,43,2
47,5,-1,80,1,43,2
48,2,-1,80,1,43,2
49,2,-1,10,1,59,2
50,3,-1,40,1,75,2
51,2,1,80,1,67,2
52,3,-1,10,1,67,2
53,1,1,10,1,43,2
54,1,1,10,1,67,2
55,4,1,20,1,75,2
56,3,1,40,1,51,2
57,4,1,40,1,67,2
58,4,-1,10,1,75,2
59,5,-1,20,1,59,2
60,5,-1,80,1,51,2
61,3,-1,10,1,59,2
62,4,-1,80,1,43,2
63,4,-1,40,1,59,2
64,2,1,20,1,59,2
65,1,-1,20,1,59,2
66,2,-1,10,1,75,2
67,4,-1,80,1,51,2
68,4,1,20,1,59,2
69,2,-1,40,1,59,2
70,3,-1,20,1,75,2
71,1,1,40,1,43,2
72,1,-1,80,1,59,2
73,2,-1,40,1,75,2
74,2,1,40,1,43,2
75,5,1,20,1,75,2
76,1,1,40,1,59,2
77,2,1,80,1,51,2
78,3,-1,80,1,67,2
79,5,1,10,1,59,2
80,3,-1,40,1,51,2
81,2,-1,80,1,59,2
82,5,1,40,1,59,2
83,5,1,20,1,67,2
84,1,1,20,1,59,2
85,5,1,40,1,67,2
86,4,1,80,1,67,2
87,4,1,40,1,75,2
88,2,-1,10,1,67,2
89,5,-1,10,1,75,2
90,3,-1,80,1,59,2
91,3,-1,20,1,43,2
92,4,-1,40,1,51,2
93,3,1,10,1,75,2
94,5,-1,20,1,75,2
95,1,-1,40,1,75,2
96,4,1,80,1,43,2
97,5,1,40,1,43,2
98,2,1,10,1,59,2
99,2,1,10,1,51,2
100,1,1,40,1,67,2
101,1,-1,80,1,43,2
102,3,-1,40,1,43,2
103,2,-1,20,1,67,2
104,2,1,20,1,51,2
105,1,-1,20,1,51,2
106,1,1,20,1,51,2
107,2,1,40,1,51,2
108,4,-1,80,1,75,2
109,3,-1,10,1,51,2
110,2,1,20,1,43,2
111,1,1,80,1,67,2
112,3,-1,20,1,51,2
113,1,-1,10,1,75,2
114,1,-1,40,1,51,2
115,3,-1,40,1,67,2
116,2,1,40,1,67,2
117,3,-1,20,1,59,2
118,5,1,80,1,75,2
119,5,-1,10,1,51,2
120,4,1,20,1,67,2
121,2,-1,40,1,51,2
122,3,1,40,1,67,2
123,1,-1,40,1,67,2
124,1,1,20,1,43,2
125,3,1,80,1,75,2
126,2,-1,40,1,43,2
127,2,-1,10,1,51,2
128,2,1,40,1,75,2
129,1,1,40,1,75,2
130,1,-1,10,1,51,2
131,1,1,40,1,51,2
132,5,-1,20,1,43,2
133,3,1,40,1,75,2
134,2,-1,20,1,59,2
135,1,1,80,1,51,2
136,2,1,80,1,75,2
137,1,1,80,1,59,2
138,4,-1,20,1,43,2
139,1,-1,40,1,43,2
140,3,-1,10,1,43,2
141,5,1,40,1,75,2
142,4,-1,80,1,67,2
143,1,1,80,1,43,2
144,5,-1,10,1,59,2
145,3,1,10,1,51,2
146,4,1,40,1,51,2
147,1,1,20,1,75,2
148,3,-1,40,1,59,2
149,5,-1,40,1,59,2
150,4,-1,20,1,67,2
151,4,1,10,1,67,2
152,1,-1,10,1,59,2
153,1,1,80,1,75,2
154,1,1,10,1,75,2
155,3,-1,80,1,51,2
156,3,1,10,1,67,2
157,4,1,80,1,75,2
158,2,-1,10,1,43,2
159,5,1,10,1,67,2
160,1,-1,80,1,67,2
161,2,1,10,1,43,2
162,4,-1,10,1,59,2
163,5,1,20,1,43,2
164,1,-1,40,1,59,2
165,3,-1,10,1,75,2
166,3,1,10,1,59,2
167,3,1,20,1,59,2
168,3,1,20,1,75,2
169,2,1,10,1,75,2
170,2,-1,20,1,51,2
171,3,-1,20,1,67,2
172,5,-1,20,1,67,2
173,5,-1,80,1,75,2
174,4,-1,20,1,51,2
175,1,-1,10,1,67,2
176,5,-1,80,1,59,2
177,5,1,10,1,75,2
178,1,-1,80,1,51,2
179,2,1,20,1,67,2
180,5,1,10,1,43,2
181,4,-1,40,1,43,2
182,2,1,40,1,59,2
183,5,-1,40,1,67,2
184,4,1,80,1,59,2
185,1,1,10,1,59,2
186,3,1,10,1,43,2
187,2,-1,80,1,75,2
188,3,1,80,1,67,2
189,4,-1,10,1,43,2
190,3,1,40,1,59,2
191,2,-1,40,1,67,2
192,5,1,80,1,43,2
193,5,1,10,1,51,2
194,2,1,20,1,75,2
195,4,-1,40,1,75,2
196,3,1,20,1,43,2
197,1,1,20,1,67,2
198,3,1,40,1,43,2
199,4,1,40,1,59,2
200,5,-1,40,1,51,2
