,Observer,angleSeq,fstFrameN,percentS
0,lj0408a.xlsx,0,43,0.333333333333
1,lj0408a.xlsx,0,51,0.333333333333
2,lj0408a.xlsx,0,59,0.166666666667
3,lj0408a.xlsx,0,67,0.666666666667
4,lj0408a.xlsx,0,75,0.833333333333
5,lj0408a.xlsx,10,43,0.0
6,lj0408a.xlsx,10,51,0.0
7,lj0408a.xlsx,10,59,0.166666666667
8,lj0408a.xlsx,10,67,0.333333333333
9,lj0408a.xlsx,10,75,0.666666666667
10,lj0408a.xlsx,20,43,0.0
11,lj0408a.xlsx,20,51,0.0
12,lj0408a.xlsx,20,59,0.333333333333
13,lj0408a.xlsx,20,67,0.5
14,lj0408a.xlsx,20,75,0.833333333333
15,lj0408a.xlsx,30,43,0.166666666667
16,lj0408a.xlsx,30,51,0.0
17,lj0408a.xlsx,30,59,0.333333333333
18,lj0408a.xlsx,30,67,0.5
19,lj0408a.xlsx,30,75,0.666666666667
20,lj0408a.xlsx,40,43,0.0
21,lj0408a.xlsx,40,51,0.333333333333
22,lj0408a.xlsx,40,59,0.666666666667
23,lj0408a.xlsx,40,67,1.0
24,lj0408a.xlsx,40,75,0.833333333333
25,lj0408a.xlsx,50,43,0.0
26,lj0408a.xlsx,50,51,0.0
27,lj0408a.xlsx,50,59,0.5
28,lj0408a.xlsx,50,67,0.333333333333
29,lj0408a.xlsx,50,75,1.0
30,lj0408a.xlsx,60,43,0.333333333333
31,lj0408a.xlsx,60,51,0.0
32,lj0408a.xlsx,60,59,0.666666666667
33,lj0408a.xlsx,60,67,0.5
34,lj0408a.xlsx,60,75,0.5
35,lj0408a.xlsx,70,43,0.166666666667
36,lj0408a.xlsx,70,51,0.5
37,lj0408a.xlsx,70,59,0.5
38,lj0408a.xlsx,70,67,0.666666666667
39,lj0408a.xlsx,70,75,1.0
40,lj0408a.xlsx,80,43,0.166666666667
41,lj0408a.xlsx,80,51,0.5
42,lj0408a.xlsx,80,59,0.5
43,lj0408a.xlsx,80,67,0.5
44,lj0408a.xlsx,80,75,0.833333333333
