,Observer,angleSeq,fstFrameN,percentS
0,lj2807c.xlsx,0,43,0.0
1,lj2807c.xlsx,0,51,0.0
2,lj2807c.xlsx,0,59,0.333333333333
3,lj2807c.xlsx,0,67,1.0
4,lj2807c.xlsx,0,75,1.0
5,lj2807c.xlsx,10,43,0.0
6,lj2807c.xlsx,10,51,0.0
7,lj2807c.xlsx,10,59,0.333333333333
8,lj2807c.xlsx,10,67,0.5
9,lj2807c.xlsx,10,75,0.5
10,lj2807c.xlsx,20,43,0.166666666667
11,lj2807c.xlsx,20,51,0.0
12,lj2807c.xlsx,20,59,0.333333333333
13,lj2807c.xlsx,20,67,0.833333333333
14,lj2807c.xlsx,20,75,0.666666666667
15,lj2807c.xlsx,30,43,0.166666666667
16,lj2807c.xlsx,30,51,0.166666666667
17,lj2807c.xlsx,30,59,0.666666666667
18,lj2807c.xlsx,30,67,0.666666666667
19,lj2807c.xlsx,30,75,1.0
20,lj2807c.xlsx,40,43,0.0
21,lj2807c.xlsx,40,51,0.333333333333
22,lj2807c.xlsx,40,59,0.166666666667
23,lj2807c.xlsx,40,67,0.5
24,lj2807c.xlsx,40,75,1.0
25,lj2807c.xlsx,50,43,0.166666666667
26,lj2807c.xlsx,50,51,0.166666666667
27,lj2807c.xlsx,50,59,0.666666666667
28,lj2807c.xlsx,50,67,1.0
29,lj2807c.xlsx,50,75,0.833333333333
30,lj2807c.xlsx,60,43,0.0
31,lj2807c.xlsx,60,51,0.0
32,lj2807c.xlsx,60,59,0.5
33,lj2807c.xlsx,60,67,0.666666666667
34,lj2807c.xlsx,60,75,0.833333333333
35,lj2807c.xlsx,70,43,0.666666666667
36,lj2807c.xlsx,70,51,1.0
37,lj2807c.xlsx,70,59,0.666666666667
38,lj2807c.xlsx,70,67,0.833333333333
39,lj2807c.xlsx,70,75,1.0
40,lj2807c.xlsx,80,43,0.666666666667
41,lj2807c.xlsx,80,51,0.5
42,lj2807c.xlsx,80,59,0.833333333333
43,lj2807c.xlsx,80,67,0.833333333333
44,lj2807c.xlsx,80,75,1.0
