,Observer,angleSeq,fstFrameN,percentS
0,lj308f.xlsx,10,43,0.0
1,lj308f.xlsx,10,51,0.0
2,lj308f.xlsx,10,59,0.2
3,lj308f.xlsx,10,67,0.6
4,lj308f.xlsx,10,75,0.9
5,lj308f.xlsx,20,43,0.1
6,lj308f.xlsx,20,51,0.1
7,lj308f.xlsx,20,59,0.0
8,lj308f.xlsx,20,67,0.5
9,lj308f.xlsx,20,75,0.8
10,lj308f.xlsx,40,43,0.3
11,lj308f.xlsx,40,51,0.4
12,lj308f.xlsx,40,59,0.2
13,lj308f.xlsx,40,67,1.0
14,lj308f.xlsx,40,75,0.9
15,lj308f.xlsx,80,43,0.5
16,lj308f.xlsx,80,51,0.5
17,lj308f.xlsx,80,59,0.8
18,lj308f.xlsx,80,67,0.9
19,lj308f.xlsx,80,75,1.0
