,angleSeq,fstFrameN,percentS,Observer,approxMs,totalNo
0,0,43,0.03571428571428571,ljob1And3allFilesCol.csv,716.6666666666667,28
1,0,51,0.0,ljob1And3allFilesCol.csv,850.0000000000001,28
2,0,59,0.03571428571428571,ljob1And3allFilesCol.csv,983.3333333333334,28
3,0,67,0.21428571428571427,ljob1And3allFilesCol.csv,1116.6666666666667,28
4,0,75,0.4642857142857143,ljob1And3allFilesCol.csv,1250.0,28
5,10,43,0.10714285714285714,ljob1And3allFilesCol.csv,716.6666666666667,28
6,10,51,0.14285714285714285,ljob1And3allFilesCol.csv,850.0000000000001,28
7,10,59,0.07142857142857142,ljob1And3allFilesCol.csv,983.3333333333334,28
8,10,67,0.32142857142857145,ljob1And3allFilesCol.csv,1116.6666666666667,28
9,10,75,0.6785714285714286,ljob1And3allFilesCol.csv,1250.0,28
10,20,43,0.07142857142857142,ljob1And3allFilesCol.csv,716.6666666666667,28
11,20,51,0.14285714285714285,ljob1And3allFilesCol.csv,850.0000000000001,28
12,20,59,0.21428571428571427,ljob1And3allFilesCol.csv,983.3333333333334,28
13,20,67,0.35714285714285715,ljob1And3allFilesCol.csv,1116.6666666666667,28
14,20,75,0.6071428571428571,ljob1And3allFilesCol.csv,1250.0,28
15,30,43,0.0,ljob1And3allFilesCol.csv,716.6666666666667,28
16,30,51,0.0,ljob1And3allFilesCol.csv,850.0000000000001,28
17,30,59,0.14285714285714285,ljob1And3allFilesCol.csv,983.3333333333334,28
18,30,67,0.6071428571428571,ljob1And3allFilesCol.csv,1116.6666666666667,28
19,30,75,0.6428571428571429,ljob1And3allFilesCol.csv,1250.0,28
20,40,43,0.10714285714285714,ljob1And3allFilesCol.csv,716.6666666666667,28
21,40,51,0.25,ljob1And3allFilesCol.csv,850.0000000000001,28
22,40,59,0.25,ljob1And3allFilesCol.csv,983.3333333333334,28
23,40,67,0.42857142857142855,ljob1And3allFilesCol.csv,1116.6666666666667,28
24,40,75,0.8214285714285714,ljob1And3allFilesCol.csv,1250.0,28
25,50,43,0.03571428571428571,ljob1And3allFilesCol.csv,716.6666666666667,28
26,50,51,0.07142857142857142,ljob1And3allFilesCol.csv,850.0000000000001,28
27,50,59,0.21428571428571427,ljob1And3allFilesCol.csv,983.3333333333334,28
28,50,67,0.8214285714285714,ljob1And3allFilesCol.csv,1116.6666666666667,28
29,50,75,0.7857142857142857,ljob1And3allFilesCol.csv,1250.0,28
30,60,43,0.07142857142857142,ljob1And3allFilesCol.csv,716.6666666666667,28
31,60,51,0.25,ljob1And3allFilesCol.csv,850.0000000000001,28
32,60,59,0.21428571428571427,ljob1And3allFilesCol.csv,983.3333333333334,28
33,60,67,0.6428571428571429,ljob1And3allFilesCol.csv,1116.6666666666667,28
34,60,75,0.8928571428571429,ljob1And3allFilesCol.csv,1250.0,28
35,80,43,0.07142857142857142,ljob1And3allFilesCol.csv,716.6666666666667,28
36,80,51,0.10714285714285714,ljob1And3allFilesCol.csv,850.0000000000001,28
37,80,59,0.17857142857142858,ljob1And3allFilesCol.csv,983.3333333333334,28
38,80,67,0.42857142857142855,ljob1And3allFilesCol.csv,1116.6666666666667,28
39,80,75,0.75,ljob1And3allFilesCol.csv,1250.0,28
