,Observer,angleSeq,fstFrameN,percentS
0,lj1507b.xlsx,10,43,0.1
1,lj1507b.xlsx,10,51,0.2
2,lj1507b.xlsx,10,59,0.1
3,lj1507b.xlsx,10,67,0.4
4,lj1507b.xlsx,10,75,0.6
5,lj1507b.xlsx,20,43,0.0
6,lj1507b.xlsx,20,51,0.0
7,lj1507b.xlsx,20,59,0.4
8,lj1507b.xlsx,20,67,0.6
9,lj1507b.xlsx,20,75,0.7
10,lj1507b.xlsx,40,43,0.3
11,lj1507b.xlsx,40,51,0.2
12,lj1507b.xlsx,40,59,0.3
13,lj1507b.xlsx,40,67,0.7
14,lj1507b.xlsx,40,75,1.0
15,lj1507b.xlsx,80,43,0.4
16,lj1507b.xlsx,80,51,0.3
17,lj1507b.xlsx,80,59,0.7
18,lj1507b.xlsx,80,67,0.8
19,lj1507b.xlsx,80,75,1.0
