,Observer,angleSeq,fstFrameN,percentS
0,lj1507c.xlsx,10,43,0.0
1,lj1507c.xlsx,10,51,0.0
2,lj1507c.xlsx,10,59,0.3
3,lj1507c.xlsx,10,67,0.3
4,lj1507c.xlsx,10,75,0.5
5,lj1507c.xlsx,20,43,0.2
6,lj1507c.xlsx,20,51,0.0
7,lj1507c.xlsx,20,59,0.6
8,lj1507c.xlsx,20,67,0.2
9,lj1507c.xlsx,20,75,0.8
10,lj1507c.xlsx,40,43,0.0
11,lj1507c.xlsx,40,51,0.2
12,lj1507c.xlsx,40,59,0.5
13,lj1507c.xlsx,40,67,0.5
14,lj1507c.xlsx,40,75,0.8
15,lj1507c.xlsx,80,43,0.2
16,lj1507c.xlsx,80,51,0.5
17,lj1507c.xlsx,80,59,0.9
18,lj1507c.xlsx,80,67,0.6
19,lj1507c.xlsx,80,75,1.0
