,Observer,angleSeq,fstFrameN,percentS
0,lj1008b.xlsx,10,43,0.0
1,lj1008b.xlsx,10,51,0.0
2,lj1008b.xlsx,10,59,0.1
3,lj1008b.xlsx,10,67,0.5
4,lj1008b.xlsx,10,75,0.6
5,lj1008b.xlsx,20,43,0.0
6,lj1008b.xlsx,20,51,0.1
7,lj1008b.xlsx,20,59,0.1
8,lj1008b.xlsx,20,67,0.3
9,lj1008b.xlsx,20,75,0.7
10,lj1008b.xlsx,40,43,0.1
11,lj1008b.xlsx,40,51,0.1
12,lj1008b.xlsx,40,59,0.6
13,lj1008b.xlsx,40,67,0.6
14,lj1008b.xlsx,40,75,0.8
15,lj1008b.xlsx,80,43,0.1
16,lj1008b.xlsx,80,51,0.4
17,lj1008b.xlsx,80,59,0.7
18,lj1008b.xlsx,80,67,0.8
19,lj1008b.xlsx,80,75,0.9
