,Observer,angleSeq,fstFrameN,percentS
0,lj1008c.xlsx,10,43,0.1
1,lj1008c.xlsx,10,51,0.0
2,lj1008c.xlsx,10,59,0.2
3,lj1008c.xlsx,10,67,0.2
4,lj1008c.xlsx,10,75,0.6
5,lj1008c.xlsx,20,43,0.1
6,lj1008c.xlsx,20,51,0.0
7,lj1008c.xlsx,20,59,0.3
8,lj1008c.xlsx,20,67,0.5
9,lj1008c.xlsx,20,75,0.8
10,lj1008c.xlsx,40,43,0.1
11,lj1008c.xlsx,40,51,0.1
12,lj1008c.xlsx,40,59,0.4
13,lj1008c.xlsx,40,67,0.6
14,lj1008c.xlsx,40,75,0.7
15,lj1008c.xlsx,80,43,0.1
16,lj1008c.xlsx,80,51,0.6
17,lj1008c.xlsx,80,59,0.8
18,lj1008c.xlsx,80,67,0.6
19,lj1008c.xlsx,80,75,0.9
