,Observer,angleSeq,fstFrameN,percentS
0,lj0908a.xlsx,0,43,0.166666666667
1,lj0908a.xlsx,0,51,0.166666666667
2,lj0908a.xlsx,0,59,0.333333333333
3,lj0908a.xlsx,0,67,0.333333333333
4,lj0908a.xlsx,0,75,1.0
5,lj0908a.xlsx,10,43,0.166666666667
6,lj0908a.xlsx,10,51,0.0
7,lj0908a.xlsx,10,59,0.166666666667
8,lj0908a.xlsx,10,67,0.333333333333
9,lj0908a.xlsx,10,75,0.5
10,lj0908a.xlsx,20,43,0.0
11,lj0908a.xlsx,20,51,0.0
12,lj0908a.xlsx,20,59,0.166666666667
13,lj0908a.xlsx,20,67,0.666666666667
14,lj0908a.xlsx,20,75,1.0
15,lj0908a.xlsx,30,43,0.333333333333
16,lj0908a.xlsx,30,51,0.0
17,lj0908a.xlsx,30,59,0.5
18,lj0908a.xlsx,30,67,0.666666666667
19,lj0908a.xlsx,30,75,0.666666666667
20,lj0908a.xlsx,40,43,0.0
21,lj0908a.xlsx,40,51,0.5
22,lj0908a.xlsx,40,59,0.0
23,lj0908a.xlsx,40,67,0.666666666667
24,lj0908a.xlsx,40,75,1.0
25,lj0908a.xlsx,50,43,0.0
26,lj0908a.xlsx,50,51,0.0
27,lj0908a.xlsx,50,59,0.666666666667
28,lj0908a.xlsx,50,67,0.666666666667
29,lj0908a.xlsx,50,75,0.833333333333
30,lj0908a.xlsx,60,43,0.0
31,lj0908a.xlsx,60,51,0.166666666667
32,lj0908a.xlsx,60,59,0.333333333333
33,lj0908a.xlsx,60,67,0.833333333333
34,lj0908a.xlsx,60,75,1.0
35,lj0908a.xlsx,70,43,0.0
36,lj0908a.xlsx,70,51,0.333333333333
37,lj0908a.xlsx,70,59,0.5
38,lj0908a.xlsx,70,67,0.5
39,lj0908a.xlsx,70,75,1.0
40,lj0908a.xlsx,80,43,0.0
41,lj0908a.xlsx,80,51,0.5
42,lj0908a.xlsx,80,59,0.5
43,lj0908a.xlsx,80,67,0.5
44,lj0908a.xlsx,80,75,1.0
