,Observer,angleSeq,fstFrameN,percentS
0,llj0908c.xlsx,0,43,0.166666666667
1,llj0908c.xlsx,0,51,0.666666666667
2,llj0908c.xlsx,0,59,0.5
3,llj0908c.xlsx,0,67,0.666666666667
4,llj0908c.xlsx,0,75,0.833333333333
5,llj0908c.xlsx,10,43,0.0
6,llj0908c.xlsx,10,51,0.0
7,llj0908c.xlsx,10,59,0.5
8,llj0908c.xlsx,10,67,0.333333333333
9,llj0908c.xlsx,10,75,1.0
10,llj0908c.xlsx,20,43,0.0
11,llj0908c.xlsx,20,51,0.0
12,llj0908c.xlsx,20,59,0.333333333333
13,llj0908c.xlsx,20,67,0.5
14,llj0908c.xlsx,20,75,0.5
15,llj0908c.xlsx,30,43,0.0
16,llj0908c.xlsx,30,51,0.333333333333
17,llj0908c.xlsx,30,59,0.333333333333
18,llj0908c.xlsx,30,67,0.333333333333
19,llj0908c.xlsx,30,75,0.833333333333
20,llj0908c.xlsx,40,43,0.0
21,llj0908c.xlsx,40,51,0.333333333333
22,llj0908c.xlsx,40,59,0.333333333333
23,llj0908c.xlsx,40,67,0.833333333333
24,llj0908c.xlsx,40,75,0.666666666667
25,llj0908c.xlsx,50,43,0.166666666667
26,llj0908c.xlsx,50,51,0.166666666667
27,llj0908c.xlsx,50,59,0.5
28,llj0908c.xlsx,50,67,0.833333333333
29,llj0908c.xlsx,50,75,0.833333333333
30,llj0908c.xlsx,60,43,0.333333333333
31,llj0908c.xlsx,60,51,0.166666666667
32,llj0908c.xlsx,60,59,0.833333333333
33,llj0908c.xlsx,60,67,0.666666666667
34,llj0908c.xlsx,60,75,1.0
35,llj0908c.xlsx,70,43,0.0
36,llj0908c.xlsx,70,51,0.5
37,llj0908c.xlsx,70,59,0.833333333333
38,llj0908c.xlsx,70,67,1.0
39,llj0908c.xlsx,70,75,0.666666666667
40,llj0908c.xlsx,80,43,0.166666666667
41,llj0908c.xlsx,80,51,0.666666666667
42,llj0908c.xlsx,80,59,0.666666666667
43,llj0908c.xlsx,80,67,1.0
44,llj0908c.xlsx,80,75,1.0
