,angleSeq,fstFrameN,percentS,Observer,approxMs,totalNo
0,0,43,0.03333333333333333,pvm_3004mb.xlsx,716.6666666666667,60
1,0,51,0.1,pvm_3004mb.xlsx,850.0000000000001,60
2,0,59,0.3,pvm_3004mb.xlsx,983.3333333333334,60
3,0,67,0.6333333333333333,pvm_3004mb.xlsx,1116.6666666666667,60
4,0,75,0.8666666666666667,pvm_3004mb.xlsx,1250.0,60
5,10,43,0.0,pvm_3004mb.xlsx,716.6666666666667,32
6,10,51,0.28125,pvm_3004mb.xlsx,850.0000000000001,32
7,10,59,0.46875,pvm_3004mb.xlsx,983.3333333333334,32
8,10,67,0.78125,pvm_3004mb.xlsx,1116.6666666666667,32
9,10,75,0.8125,pvm_3004mb.xlsx,1250.0,32
10,20,43,0.15625,pvm_3004mb.xlsx,716.6666666666667,32
11,20,51,0.21875,pvm_3004mb.xlsx,850.0000000000001,32
12,20,59,0.46875,pvm_3004mb.xlsx,983.3333333333334,32
13,20,67,0.6875,pvm_3004mb.xlsx,1116.6666666666667,32
14,20,75,0.8125,pvm_3004mb.xlsx,1250.0,32
15,30,43,0.05,pvm_3004mb.xlsx,716.6666666666667,60
16,30,51,0.3,pvm_3004mb.xlsx,850.0000000000001,60
17,30,59,0.5,pvm_3004mb.xlsx,983.3333333333334,60
18,30,67,0.7166666666666667,pvm_3004mb.xlsx,1116.6666666666667,60
19,30,75,0.9166666666666666,pvm_3004mb.xlsx,1250.0,60
20,40,43,0.1875,pvm_3004mb.xlsx,716.6666666666667,32
21,40,51,0.40625,pvm_3004mb.xlsx,850.0000000000001,32
22,40,59,0.65625,pvm_3004mb.xlsx,983.3333333333334,32
23,40,67,0.8125,pvm_3004mb.xlsx,1116.6666666666667,32
24,40,75,0.96875,pvm_3004mb.xlsx,1250.0,32
25,50,43,0.1,pvm_3004mb.xlsx,716.6666666666667,60
26,50,51,0.21666666666666667,pvm_3004mb.xlsx,850.0000000000001,60
27,50,59,0.55,pvm_3004mb.xlsx,983.3333333333334,60
28,50,67,0.7166666666666667,pvm_3004mb.xlsx,1116.6666666666667,60
29,50,75,0.8833333333333333,pvm_3004mb.xlsx,1250.0,60
30,60,43,0.1,pvm_3004mb.xlsx,716.6666666666667,60
31,60,51,0.3333333333333333,pvm_3004mb.xlsx,850.0000000000001,60
32,60,59,0.6166666666666667,pvm_3004mb.xlsx,983.3333333333334,60
33,60,67,0.8833333333333333,pvm_3004mb.xlsx,1116.6666666666667,60
34,60,75,0.9666666666666667,pvm_3004mb.xlsx,1250.0,60
35,80,43,0.0625,pvm_3004mb.xlsx,716.6666666666667,32
36,80,51,0.1875,pvm_3004mb.xlsx,850.0000000000001,32
37,80,59,0.46875,pvm_3004mb.xlsx,983.3333333333334,32
38,80,67,0.84375,pvm_3004mb.xlsx,1116.6666666666667,32
39,80,75,0.84375,pvm_3004mb.xlsx,1250.0,32
