,mod,angleSeq,sizeN,percentS,Observer
0,1,30,0.55,0.0,P3All.xlsx
1,1,30,0.7,0.0,P3All.xlsx
2,1,30,0.85,0.0,P3All.xlsx
3,1,30,1.0,0.3,P3All.xlsx
4,1,30,1.15,0.6,P3All.xlsx
5,1,30,1.3,0.9333333333333333,P3All.xlsx
6,1,30,1.45,1.0,P3All.xlsx
7,1,40,0.55,0.0,P3All.xlsx
8,1,40,0.7,0.0,P3All.xlsx
9,1,40,0.85,0.0,P3All.xlsx
10,1,40,1.0,0.26666666666666666,P3All.xlsx
11,1,40,1.15,0.6333333333333333,P3All.xlsx
12,1,40,1.3,0.9333333333333333,P3All.xlsx
13,1,40,1.45,1.0,P3All.xlsx
14,1,50,0.55,0.0,P3All.xlsx
15,1,50,0.7,0.0,P3All.xlsx
16,1,50,0.85,0.0,P3All.xlsx
17,1,50,1.0,0.3,P3All.xlsx
18,1,50,1.15,0.7666666666666667,P3All.xlsx
19,1,50,1.3,0.9333333333333333,P3All.xlsx
20,1,50,1.45,1.0,P3All.xlsx
21,1,60,0.4,0.0,P3All.xlsx
22,1,60,0.55,0.0,P3All.xlsx
23,1,60,0.7,0.0,P3All.xlsx
24,1,60,0.85,0.0,P3All.xlsx
25,1,60,1.0,0.3333333333333333,P3All.xlsx
26,1,60,1.15,0.6333333333333333,P3All.xlsx
27,1,60,1.3,0.9,P3All.xlsx
28,1,60,1.45,0.9333333333333333,P3All.xlsx
29,1,60,1.6,1.0,P3All.xlsx
30,1,70,0.4,0.0,P3All.xlsx
31,1,70,0.55,0.0,P3All.xlsx
32,1,70,0.7,0.03333333333333333,P3All.xlsx
33,1,70,0.85,0.13333333333333333,P3All.xlsx
34,1,70,1.0,0.4,P3All.xlsx
35,1,70,1.15,0.8333333333333334,P3All.xlsx
36,1,70,1.3,0.9333333333333333,P3All.xlsx
37,1,70,1.45,0.9666666666666667,P3All.xlsx
38,1,70,1.6,1.0,P3All.xlsx
39,1,80,0.4,0.0,P3All.xlsx
40,1,80,0.55,0.0,P3All.xlsx
41,1,80,0.7,0.1,P3All.xlsx
42,1,80,0.85,0.13333333333333333,P3All.xlsx
43,1,80,1.0,0.36666666666666664,P3All.xlsx
44,1,80,1.15,0.8666666666666667,P3All.xlsx
45,1,80,1.3,1.0,P3All.xlsx
46,1,80,1.45,0.9666666666666667,P3All.xlsx
47,1,80,1.6,1.0,P3All.xlsx
48,-1,30,0.55,0.0,P3All.xlsx
49,-1,30,0.7,0.0,P3All.xlsx
50,-1,30,0.85,0.0,P3All.xlsx
51,-1,30,1.0,0.16666666666666666,P3All.xlsx
52,-1,30,1.15,0.5666666666666667,P3All.xlsx
53,-1,30,1.3,0.9666666666666667,P3All.xlsx
54,-1,30,1.45,0.9666666666666667,P3All.xlsx
55,-1,40,0.55,0.0,P3All.xlsx
56,-1,40,0.7,0.0,P3All.xlsx
57,-1,40,0.85,0.06666666666666667,P3All.xlsx
58,-1,40,1.0,0.43333333333333335,P3All.xlsx
59,-1,40,1.15,0.6666666666666666,P3All.xlsx
60,-1,40,1.3,0.9,P3All.xlsx
61,-1,40,1.45,0.8666666666666667,P3All.xlsx
62,-1,50,0.55,0.0,P3All.xlsx
63,-1,50,0.7,0.0,P3All.xlsx
64,-1,50,0.85,0.0,P3All.xlsx
65,-1,50,1.0,0.2,P3All.xlsx
66,-1,50,1.15,0.6666666666666666,P3All.xlsx
67,-1,50,1.3,0.8,P3All.xlsx
68,-1,50,1.45,0.8333333333333334,P3All.xlsx
69,-1,60,0.4,0.0,P3All.xlsx
70,-1,60,0.55,0.0,P3All.xlsx
71,-1,60,0.7,0.03333333333333333,P3All.xlsx
72,-1,60,0.85,0.1,P3All.xlsx
73,-1,60,1.0,0.3333333333333333,P3All.xlsx
74,-1,60,1.15,0.6,P3All.xlsx
75,-1,60,1.3,0.9,P3All.xlsx
76,-1,60,1.45,0.9,P3All.xlsx
77,-1,60,1.6,1.0,P3All.xlsx
78,-1,70,0.4,0.03333333333333333,P3All.xlsx
79,-1,70,0.55,0.0,P3All.xlsx
80,-1,70,0.7,0.03333333333333333,P3All.xlsx
81,-1,70,0.85,0.13333333333333333,P3All.xlsx
82,-1,70,1.0,0.43333333333333335,P3All.xlsx
83,-1,70,1.15,0.7333333333333333,P3All.xlsx
84,-1,70,1.3,0.7666666666666667,P3All.xlsx
85,-1,70,1.45,0.9666666666666667,P3All.xlsx
86,-1,70,1.6,0.9666666666666667,P3All.xlsx
87,-1,80,0.4,0.0,P3All.xlsx
88,-1,80,0.55,0.03333333333333333,P3All.xlsx
89,-1,80,0.7,0.0,P3All.xlsx
90,-1,80,0.85,0.03333333333333333,P3All.xlsx
91,-1,80,1.0,0.13333333333333333,P3All.xlsx
92,-1,80,1.15,0.5333333333333333,P3All.xlsx
93,-1,80,1.3,0.5666666666666667,P3All.xlsx
94,-1,80,1.45,0.8666666666666667,P3All.xlsx
95,-1,80,1.6,0.8666666666666667,P3All.xlsx
