,mod,angleSeq,sizeN,percentS,Observer
0,1,0,0.55,0.0,PVMallFilesCol.csv
1,1,0,0.7,0.0,PVMallFilesCol.csv
2,1,0,0.85,0.0,PVMallFilesCol.csv
3,1,0,1.0,0.0,PVMallFilesCol.csv
4,1,0,1.15,0.0,PVMallFilesCol.csv
5,1,0,1.3,0.0,PVMallFilesCol.csv
6,1,0,1.45,0.0,PVMallFilesCol.csv
7,1,10,0.55,0.0,PVMallFilesCol.csv
8,1,10,0.7,0.0,PVMallFilesCol.csv
9,1,10,0.85,0.0,PVMallFilesCol.csv
10,1,10,1.0,0.6666666666666666,PVMallFilesCol.csv
11,1,10,1.15,1.0,PVMallFilesCol.csv
12,1,10,1.3,1.0,PVMallFilesCol.csv
13,1,10,1.45,1.0,PVMallFilesCol.csv
14,1,20,0.55,0.0,PVMallFilesCol.csv
15,1,20,0.7,0.0,PVMallFilesCol.csv
16,1,20,0.85,0.1,PVMallFilesCol.csv
17,1,20,1.0,0.7333333333333333,PVMallFilesCol.csv
18,1,20,1.15,1.0,PVMallFilesCol.csv
19,1,20,1.3,1.0,PVMallFilesCol.csv
20,1,20,1.45,1.0,PVMallFilesCol.csv
21,1,30,0.55,0.0,PVMallFilesCol.csv
22,1,30,0.7,0.0,PVMallFilesCol.csv
23,1,30,0.85,0.16666666666666666,PVMallFilesCol.csv
24,1,30,1.0,0.8333333333333334,PVMallFilesCol.csv
25,1,30,1.15,0.9666666666666667,PVMallFilesCol.csv
26,1,30,1.3,1.0,PVMallFilesCol.csv
27,1,30,1.45,1.0,PVMallFilesCol.csv
28,1,40,0.55,0.0,PVMallFilesCol.csv
29,1,40,0.7,0.1,PVMallFilesCol.csv
30,1,40,0.85,0.16666666666666666,PVMallFilesCol.csv
31,1,40,1.0,0.7666666666666667,PVMallFilesCol.csv
32,1,40,1.15,0.9666666666666667,PVMallFilesCol.csv
33,1,40,1.3,1.0,PVMallFilesCol.csv
34,1,40,1.45,1.0,PVMallFilesCol.csv
35,1,50,0.55,0.03333333333333333,PVMallFilesCol.csv
36,1,50,0.7,0.1,PVMallFilesCol.csv
37,1,50,0.85,0.5,PVMallFilesCol.csv
38,1,50,1.0,0.8666666666666667,PVMallFilesCol.csv
39,1,50,1.15,1.0,PVMallFilesCol.csv
40,1,50,1.3,1.0,PVMallFilesCol.csv
41,1,50,1.45,1.0,PVMallFilesCol.csv
42,-1,0,0.55,0.0,PVMallFilesCol.csv
43,-1,0,0.7,0.0,PVMallFilesCol.csv
44,-1,0,0.85,0.0,PVMallFilesCol.csv
45,-1,0,1.0,0.0,PVMallFilesCol.csv
46,-1,0,1.15,0.0,PVMallFilesCol.csv
47,-1,0,1.3,0.0,PVMallFilesCol.csv
48,-1,0,1.45,0.0,PVMallFilesCol.csv
49,-1,10,0.55,0.0,PVMallFilesCol.csv
50,-1,10,0.7,0.0,PVMallFilesCol.csv
51,-1,10,0.85,0.06666666666666667,PVMallFilesCol.csv
52,-1,10,1.0,0.5333333333333333,PVMallFilesCol.csv
53,-1,10,1.15,0.9333333333333333,PVMallFilesCol.csv
54,-1,10,1.3,1.0,PVMallFilesCol.csv
55,-1,10,1.45,1.0,PVMallFilesCol.csv
56,-1,20,0.55,0.0,PVMallFilesCol.csv
57,-1,20,0.7,0.03333333333333333,PVMallFilesCol.csv
58,-1,20,0.85,0.16666666666666666,PVMallFilesCol.csv
59,-1,20,1.0,0.5333333333333333,PVMallFilesCol.csv
60,-1,20,1.15,0.9666666666666667,PVMallFilesCol.csv
61,-1,20,1.3,1.0,PVMallFilesCol.csv
62,-1,20,1.45,1.0,PVMallFilesCol.csv
63,-1,30,0.55,0.03333333333333333,PVMallFilesCol.csv
64,-1,30,0.7,0.0,PVMallFilesCol.csv
65,-1,30,0.85,0.06666666666666667,PVMallFilesCol.csv
66,-1,30,1.0,0.5,PVMallFilesCol.csv
67,-1,30,1.15,0.9666666666666667,PVMallFilesCol.csv
68,-1,30,1.3,1.0,PVMallFilesCol.csv
69,-1,30,1.45,1.0,PVMallFilesCol.csv
70,-1,40,0.55,0.0,PVMallFilesCol.csv
71,-1,40,0.7,0.0,PVMallFilesCol.csv
72,-1,40,0.85,0.0,PVMallFilesCol.csv
73,-1,40,1.0,0.26666666666666666,PVMallFilesCol.csv
74,-1,40,1.15,0.6333333333333333,PVMallFilesCol.csv
75,-1,40,1.3,0.9666666666666667,PVMallFilesCol.csv
76,-1,40,1.45,1.0,PVMallFilesCol.csv
77,-1,50,0.55,0.03333333333333333,PVMallFilesCol.csv
78,-1,50,0.7,0.06666666666666667,PVMallFilesCol.csv
79,-1,50,0.85,0.2,PVMallFilesCol.csv
80,-1,50,1.0,0.36666666666666664,PVMallFilesCol.csv
81,-1,50,1.15,0.7,PVMallFilesCol.csv
82,-1,50,1.3,0.9666666666666667,PVMallFilesCol.csv
83,-1,50,1.45,1.0,PVMallFilesCol.csv
