,angleSeq,fstFrameN,percentS,Observer,approxMs,totalNo
0,0.0,17,0.03333333333333333,timingExp3allFilesCol.csv,283.33333333333337,60
1,0.0,23,0.03333333333333333,timingExp3allFilesCol.csv,383.33333333333337,60
2,0.0,29,0.31666666666666665,timingExp3allFilesCol.csv,483.33333333333337,60
3,0.0,35,0.5833333333333334,timingExp3allFilesCol.csv,583.3333333333334,60
4,0.0,41,0.7333333333333333,timingExp3allFilesCol.csv,683.3333333333334,60
5,10.0,17,0.0,timingExp3allFilesCol.csv,283.33333333333337,60
6,10.0,23,0.1,timingExp3allFilesCol.csv,383.33333333333337,60
7,10.0,29,0.5,timingExp3allFilesCol.csv,483.33333333333337,60
8,10.0,35,0.6666666666666666,timingExp3allFilesCol.csv,583.3333333333334,60
9,10.0,41,0.7833333333333333,timingExp3allFilesCol.csv,683.3333333333334,60
10,30.0,17,0.0,timingExp3allFilesCol.csv,283.33333333333337,60
11,30.0,23,0.016666666666666666,timingExp3allFilesCol.csv,383.33333333333337,60
12,30.0,29,0.16666666666666666,timingExp3allFilesCol.csv,483.33333333333337,60
13,30.0,35,0.5833333333333334,timingExp3allFilesCol.csv,583.3333333333334,60
14,30.0,41,0.7666666666666667,timingExp3allFilesCol.csv,683.3333333333334,60
15,60.0,17,0.0,timingExp3allFilesCol.csv,283.33333333333337,60
16,60.0,23,0.1,timingExp3allFilesCol.csv,383.33333333333337,60
17,60.0,29,0.4,timingExp3allFilesCol.csv,483.33333333333337,60
18,60.0,35,0.8,timingExp3allFilesCol.csv,583.3333333333334,60
19,60.0,41,0.9,timingExp3allFilesCol.csv,683.3333333333334,60
