,sizeSeq1,repNo,angleSeq,mod,trialID,FrameStim,stimLength,n,ExpectedcorrectAnswer_mean,ExpectedcorrectAnswer_raw,ExpectedcorrectAnswer_std,FrameStim_mean,FrameStim_raw,Resp_mean,Resp_raw,Resp_std,absMod_mean,absMod_raw,acc_mean,acc_raw,acc_std,actualcorrectAnswer_mean,actualcorrectAnswer_raw,actualcorrectAnswer_std,angleS_mean,angleS_raw,repNo_mean,repNo_raw,sizeSeq`_mean,sizeSeq`_raw,soundTLoc_mean,soundTLoc_raw,soundTLoc_std,stGap_mean,stGap_raw,stGap_std,stimLength_mean,stimLength_raw,timeafter_mean,timeafter_raw,timeafter_std,timebefore_mean,timebefore_raw,timebefore_std,totalGapTime_mean,totalGapTime_raw,totalGapTime_std,trialDropID_mean,trialDropID_raw,trialDropID_std,trialID_mean,trialID_raw,order
0,1,1,10.0,1.0,1.0,59.0,2.0,1.0,0.0,0.0,0.0,59.0,59.0,-1.0,-1.0,0.0,1.0,1.0,,,,1.0,1.0,0.0,10.0,10.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,0.984128296375,0.9841282963752747,0.0,0.964176535606,0.9641765356063843,0.0,1.94830489159,1.948304891586304,0.0,3.0,3.0,0.0,1.0,1.0,0.0
1,1,1,40.0,-1.0,2.0,51.0,2.0,1.0,0.0,0.0,0.0,51.0,51.0,-1.0,-1.0,0.0,-1.0,-1.0,,,,1.0,1.0,0.0,40.0,40.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,1.11754763126,1.117547631263733,0.0,0.830771446228,0.8307714462280273,0.0,1.94831907749,1.94831907749176,0.0,,,,2.0,2.0,1.0
2,1,2,10.0,1.0,3.0,75.0,2.0,1.0,0.0,0.0,0.0,75.0,75.0,-1.0,-1.0,0.0,1.0,1.0,,,,-1.0,-1.0,0.0,10.0,10.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,0.717052876949,0.7170528769493103,0.0,1.23114228249,1.231142282485962,0.0,1.94819509983,1.948195099830627,0.0,,,,3.0,3.0,2.0
3,1,1,10.0,-1.0,4.0,75.0,2.0,1.0,0.0,0.0,0.0,75.0,75.0,1.0,1.0,0.0,-1.0,-1.0,,,,1.0,1.0,0.0,10.0,10.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,0.717290222645,0.7172902226448059,0.0,1.23096263409,1.230962634086609,0.0,1.94825291634,1.94825291633606,0.0,,,,4.0,4.0,3.0
4,1,2,10.0,1.0,5.0,51.0,2.0,1.0,0.0,0.0,0.0,51.0,51.0,-1.0,-1.0,0.0,1.0,1.0,,,,1.0,1.0,0.0,10.0,10.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,1.11747634411,1.117476344108582,0.0,0.830729722977,0.8307297229766846,0.0,1.94820606709,1.948206067085266,0.0,,,,5.0,5.0,4.0
5,1,1,40.0,1.0,6.0,59.0,2.0,1.0,0.0,0.0,0.0,59.0,59.0,-1.0,-1.0,0.0,1.0,1.0,,,,1.0,1.0,0.0,40.0,40.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,0.984157145023,0.984157145023346,0.0,0.964319169521,0.9643191695213318,0.0,1.94847631454,1.948476314544678,0.0,,,,6.0,6.0,5.0
6,1,2,50.0,-1.0,7.0,67.0,2.0,1.0,0.0,0.0,0.0,67.0,67.0,1.0,1.0,0.0,-1.0,-1.0,,,,1.0,1.0,0.0,50.0,50.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,0.85062110424,0.8506211042404175,0.0,1.0977448225,1.097744822502136,0.0,1.94836592674,1.948365926742554,0.0,2.0,2.0,0.0,7.0,7.0,6.0
7,1,2,80.0,-1.0,8.0,51.0,2.0,1.0,0.0,0.0,0.0,51.0,51.0,-1.0,-1.0,0.0,-1.0,-1.0,,,,1.0,1.0,0.0,80.0,80.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,1.11753380299,1.117533802986145,0.0,0.830943644047,0.8309436440467834,0.0,1.94847738743,1.948477387428284,0.0,,,,8.0,8.0,7.0
8,1,2,40.0,1.0,9.0,43.0,2.0,1.0,0.0,0.0,0.0,43.0,43.0,1.0,1.0,0.0,1.0,1.0,,,,-1.0,-1.0,0.0,40.0,40.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,1.25105154514,1.251051545143127,0.0,0.697165191174,0.6971651911735535,0.0,1.94821667671,1.948216676712036,0.0,,,,9.0,9.0,8.0
9,1,1,0.0,-1.0,10.0,51.0,2.0,1.0,0.0,0.0,0.0,51.0,51.0,-1.0,-1.0,0.0,-1.0,-1.0,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,1.11741089821,1.117410898208618,0.0,0.830889165401,0.8308891654014587,0.0,1.94830012321,1.948300123214722,0.0,,,,10.0,10.0,9.0
10,1,2,70.0,-1.0,11.0,51.0,2.0,1.0,0.0,0.0,0.0,51.0,51.0,-1.0,-1.0,0.0,-1.0,-1.0,,,,1.0,1.0,0.0,70.0,70.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,1.11748588085,1.117485880851746,0.0,0.83088696003,0.830886960029602,0.0,1.94837284088,1.948372840881348,0.0,,,,11.0,11.0,10.0
11,1,1,40.0,1.0,12.0,51.0,2.0,1.0,0.0,0.0,0.0,51.0,51.0,1.0,1.0,0.0,1.0,1.0,,,,-1.0,-1.0,0.0,40.0,40.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,1.11762595177,1.117625951766968,0.0,0.830409049988,0.830409049987793,0.0,1.94803500175,1.948035001754761,0.0,,,,12.0,12.0,11.0
12,1,1,0.0,1.0,13.0,59.0,2.0,1.0,0.0,0.0,0.0,59.0,59.0,1.0,1.0,0.0,1.0,1.0,,,,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,0.984034657478,0.9840346574783325,0.0,0.964114010334,0.9641140103340149,0.0,1.94814872742,1.948148727416992,0.0,,,,13.0,13.0,12.0
13,1,2,60.0,1.0,14.0,59.0,2.0,1.0,0.0,0.0,0.0,59.0,59.0,1.0,1.0,0.0,1.0,1.0,,,,-1.0,-1.0,0.0,60.0,60.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,0.984041631222,0.9840416312217712,0.0,0.964039802551,0.9640398025512695,0.0,1.94808137417,1.948081374168396,0.0,,,,14.0,14.0,13.0
