,angleSeq,fstFrameN,percentS,Observer,approxMs,totalNo
0,0.0,43,0.0,tlTimingallFilesCol.csv,716.6666666666667,40
1,0.0,51,0.1,tlTimingallFilesCol.csv,850.0000000000001,40
2,0.0,59,0.375,tlTimingallFilesCol.csv,983.3333333333334,40
3,0.0,67,0.9,tlTimingallFilesCol.csv,1116.6666666666667,40
4,0.0,75,0.975,tlTimingallFilesCol.csv,1250.0,40
5,10.0,43,0.05,tlTimingallFilesCol.csv,716.6666666666667,40
6,10.0,51,0.025,tlTimingallFilesCol.csv,850.0000000000001,40
7,10.0,59,0.45,tlTimingallFilesCol.csv,983.3333333333334,40
8,10.0,67,0.725,tlTimingallFilesCol.csv,1116.6666666666667,40
9,10.0,75,0.95,tlTimingallFilesCol.csv,1250.0,40
10,20.0,43,0.025,tlTimingallFilesCol.csv,716.6666666666667,40
11,20.0,51,0.025,tlTimingallFilesCol.csv,850.0000000000001,40
12,20.0,59,0.45,tlTimingallFilesCol.csv,983.3333333333334,40
13,20.0,67,0.85,tlTimingallFilesCol.csv,1116.6666666666667,40
14,20.0,75,0.925,tlTimingallFilesCol.csv,1250.0,40
15,30.0,43,0.025,tlTimingallFilesCol.csv,716.6666666666667,40
16,30.0,51,0.1,tlTimingallFilesCol.csv,850.0000000000001,40
17,30.0,59,0.3,tlTimingallFilesCol.csv,983.3333333333334,40
18,30.0,67,0.8,tlTimingallFilesCol.csv,1116.6666666666667,40
19,30.0,75,1.0,tlTimingallFilesCol.csv,1250.0,40
20,40.0,43,0.05,tlTimingallFilesCol.csv,716.6666666666667,40
21,40.0,51,0.05,tlTimingallFilesCol.csv,850.0000000000001,40
22,40.0,59,0.35,tlTimingallFilesCol.csv,983.3333333333334,40
23,40.0,67,0.8,tlTimingallFilesCol.csv,1116.6666666666667,40
24,40.0,75,0.975,tlTimingallFilesCol.csv,1250.0,40
25,50.0,43,0.0,tlTimingallFilesCol.csv,716.6666666666667,40
26,50.0,51,0.1,tlTimingallFilesCol.csv,850.0000000000001,40
27,50.0,59,0.35,tlTimingallFilesCol.csv,983.3333333333334,40
28,50.0,67,0.775,tlTimingallFilesCol.csv,1116.6666666666667,40
29,50.0,75,0.975,tlTimingallFilesCol.csv,1250.0,40
30,60.0,43,0.0,tlTimingallFilesCol.csv,716.6666666666667,40
31,60.0,51,0.075,tlTimingallFilesCol.csv,850.0000000000001,40
32,60.0,59,0.45,tlTimingallFilesCol.csv,983.3333333333334,40
33,60.0,67,0.825,tlTimingallFilesCol.csv,1116.6666666666667,40
34,60.0,75,0.925,tlTimingallFilesCol.csv,1250.0,40
35,70.0,43,0.0,tlTimingallFilesCol.csv,716.6666666666667,40
36,70.0,51,0.075,tlTimingallFilesCol.csv,850.0000000000001,40
37,70.0,59,0.275,tlTimingallFilesCol.csv,983.3333333333334,40
38,70.0,67,0.8,tlTimingallFilesCol.csv,1116.6666666666667,40
39,70.0,75,0.9,tlTimingallFilesCol.csv,1250.0,40
40,80.0,43,0.0,tlTimingallFilesCol.csv,716.6666666666667,40
41,80.0,51,0.025,tlTimingallFilesCol.csv,850.0000000000001,40
42,80.0,59,0.275,tlTimingallFilesCol.csv,983.3333333333334,40
43,80.0,67,0.6,tlTimingallFilesCol.csv,1116.6666666666667,40
44,80.0,75,0.9,tlTimingallFilesCol.csv,1250.0,40
